model,precision,batch_size,power_mode,p_peak_w,energy_per_inf_j,thermal_ramp_c_per_s,speed_score,pareto
resnet50,FP16,4,15W,14.14656,0.4360502228238621,0.1984551306741042,31.667723063203557,0
resnet50,FP16,4,15W,14.185856,0.4370027508267982,0.1983438182262498,31.62938960599812,0
resnet50,FP16,4,15W,12.87072,1.5079998620350872,0.0269386968867028,8.157865452266279,0
resnet50,FP16,4,15W,12.55584,1.5132967891998108,0.0068547426136657,8.027502180083713,0
resnet50,FP16,4,15W,12.5952,1.5212167167352173,-0.0019210661697768,7.993353285876362,0
resnet50,FP16,4,25W,16.685568,0.4053424364455147,0.5385237154371211,39.26166732214932,0
resnet50,FP16,4,25W,16.685568,0.4071263062423292,0.3360008033782033,39.456099872794205,0
resnet50,FP16,4,25W,16.658304,0.407231754394292,0.3247321317769686,39.28558893568971,0
resnet50,FP16,4,25W,15.10432,1.5296966884631016,0.0092709688376169,9.339487723340255,0
resnet50,FP16,4,25W,15.025856,1.5324444716761942,0.0122127041586936,9.35574748320699,0
resnet50,FP16,4,25W,15.339712,1.51895753048103,0.0258693842233612,9.523794107961429,0
resnet50,FP16,4,MAXN,19.533824,0.3868411714021078,0.7196217715306212,47.28751522510179,0
resnet50,FP16,4,MAXN,19.410048,0.3917930897427855,0.4603798480432068,47.11654682021484,0
resnet50,FP16,4,MAXN,19.410048,0.3939911378969088,0.4005675970794486,47.14433838967806,0
resnet50,FP16,4,MAXN,15.980544,1.5970928323662483,-0.0414361939000754,8.690640419625591,0
resnet50,FP16,4,MAXN,15.6672,1.6056629123528232,-0.0347088829822454,8.805193903808469,0
resnet50,FP16,4,MAXN,15.6672,1.6127960634285463,-0.021431436857516,8.691864041889039,0
resnet50,FP16,8,15W,14.067968,0.7660396281007625,0.0799072900284765,17.815511724171213,0
resnet50,FP16,8,15W,13.792896,0.7645180614454008,0.0479184469350191,17.821381141384123,0
resnet50,FP16,8,15W,13.832192,0.7661582542379195,0.0585632237309975,17.809685153770914,0
resnet50,FP16,8,15W,13.792896,2.423862740505992,0.0049428229796394,5.575394135452754,0
resnet50,FP16,8,15W,14.947392,2.435416135029024,0.0056934647465991,5.609458405372867,0
resnet50,FP16,8,15W,13.832192,2.408518694172806,-0.0113319804302519,5.574321632378958,0
resnet50,FP16,8,25W,18.30976,0.7047712009881179,0.3106971521915112,25.217873745809708,0
resnet50,FP16,8,25W,18.27072,0.7075249180303703,0.2167071144821202,25.217030736478662,0
resnet50,FP16,8,25W,18.38784,0.710043853850163,0.1854067830131691,25.20305548174669,0
resnet50,FP16,8,25W,17.72416,2.298961217807192,0.0336812166638896,7.505102137297742,0
