model,precision,batch_size,power_mode,schedule,mode,seq_len,gen_tokens,p_peak_w,p_avg_w,p_idle_w,p_p95_w,peak_to_avg,dpdt_max_w_per_s,dpdt_p95_w_per_s,transient_count,temp_max_c,thermal_ramp_c_per_s,energy_total_j,energy_per_inf_j,duration_s,n_inferences,backend,throughput_infps,trace_source,repeat,final_loss
resnet18,FP16,1,MAXN,default,train,128,64,13.3824,10.724153553956835,9.50784,13.26432,1.2478747094275209,13.756000811019893,6.169066959295504,0.0,52.687,0.15963430580071347,95.78971248112857,0.4789485624056429,8.932586095999795,200.0,torch-cuda-FP16-train,22.383712570695398,ina3221,0,0.0
resnet18,FP16,1,MAXN,default,train,128,64,9.848448000000001,9.38665512,9.270144,9.626688,1.0491967451766782,6.8191455568426695,3.321214021706834,0.0,51.906,0.007212006945166892,96.65692814675114,0.4832846407337557,10.297471693999796,200.0,torch-cuda-FP16-train,19.414689682486564,ina3221,1,0.0
resnet18,FP16,4,15W,default,inference,128,64,13.89408,12.881112543689323,9.646495999999999,13.854719999999999,1.078639748925022,12.333264636655178,6.276545868638852,0.0,53.437,0.7113264457015347,33.67365973184451,0.16836829865922254,2.614407150000261,200.0,torch-cuda-FP16,76.43167458132822,ina3221,0,
resnet18,FP16,4,15W,default,inference,128,64,13.933440000000001,13.3577260990099,11.690422400000001,13.933440000000001,1.0430996935199004,6.405306438881092,5.895694081771023,0.0,53.656,0.38840024423339353,34.32030976509411,0.17160154882547055,2.5686027739993733,200.0,torch-cuda-FP16,77.47145765280051,ina3221,1,
resnet18,FP16,4,15W,default,train,128,64,11.8464,11.540544379596678,11.45152,11.723987199999998,1.0265027030218838,6.678610071501208,5.910362885241552,0.0,53.625,0.04254044131367152,123.70369022727988,0.6185184511363994,10.718820022999353,200.0,torch-cuda-FP16-train,18.641885295680037,ina3221,0,0.00014956659288145602
resnet18,FP16,4,15W,default,train,128,64,11.727936,11.540624718676124,11.491007999999999,11.609472,1.0162306015393388,6.814579347129261,5.956579481635387,0.0,54.125,0.04496272280260898,124.27961142071317,0.6213980571035659,10.76815539999916,200.0,torch-cuda-FP16-train,18.55346456858733,ina3221,1,0.00013264079461805522
resnet18,FP16,4,25W,default,inference,128,64,15.771263999999999,14.015202404624276,9.6489728,15.6928,1.125296912929086,18.145878371777616,9.13605451761218,0.0,55.468,1.2689670444650982,31.446064079317733,0.15723032039658866,2.242041616998904,200.0,torch-cuda-FP16,89.1271678766211,ina3221,0,
resnet18,FP16,4,25W,default,inference,128,64,15.810495999999999,14.931881005988023,12.5328896,15.771263999999999,1.0588415480715143,12.082514404404126,6.159308406477955,0.0,55.843,0.6286633793320692,32.36531589584362,0.1618265794792181,2.1666536860011547,200.0,torch-cuda-FP16,92.0302153749871,ina3221,1,
resnet18,FP16,4,25W,default,train,128,64,12.8128,12.580413804320202,12.457984,12.733951999999999,1.0184720629459736,11.576399900340029,6.1508181121455525,0.0,55.468,0.031728952431646675,125.48596396465643,0.6274298198232822,9.974177469999631,200.0,torch-cuda-FP16-train,20.046334512236758,ina3221,0,0.00013174719060771167
resnet18,FP16,4,25W,default,train,128,64,12.694528,12.436588005018821,12.2135552,12.615680000000001,1.0207404148852632,9.865997544116992,6.040681142522414,0.0,55.687,0.0556679726859102,125.50620916988498,0.6275310458494249,10.091718010000477,200.0,torch-cuda-FP16-train,19.805021653234675,ina3221,1,0.0001402398629579693
resnet18,FP16,4,MAXN,default,inference,128,64,18.066048,15.906231172413792,10.7783552,18.026944,1.135784322771065,21.307881432602592,15.030912199918367,0.0,57.187,1.4190914109597697,29.615437848302523,0.1480771892415126,1.8593302889985353,200.0,torch-cuda-FP16,107.33025523187878,ina3221,0,
resnet18,FP16,4,MAXN,default,inference,128,64,18.261568,17.212808624113478,14.618112,18.18336,1.060929009250548,12.519833050451185,9.00410566362557,0.0,57.656,0.8185896226886742,31.18956288662496,0.1559478144331248,1.810718299000655,200.0,torch-cuda-FP16,109.89289211243754,ina3221,1,
resnet18,FP16,4,MAXN,default,train,128,64,13.42176,12.716307063829786,12.576255999999999,13.02816,1.055476242640979,10.091395249786196,6.5668379813328235,0.0,56.5,-0.012025669917624318,127.6533563394486,0.638266781697243,10.038422547000664,200.0,torch-cuda-FP16-train,19.909273050495386,ina3221,0,0.000148166116559878
resnet18,FP16,4,MAXN,default,train,128,64,12.9888,12.718259071518194,12.576255999999999,12.891648,1.0212718522999478,11.150153743782383,6.653212556730835,0.0,56.906,0.03148353806365776,127.78419587411474,0.6389209793705737,10.04702955600078,200.0,torch-cuda-FP16-train,19.904469719712814,ina3221,1,0.00013731917715631425
resnet18,FP16,8,15W,default,inference,128,64,13.50048,12.995892472049688,10.9006624,13.50048,1.0388266930520955,10.08196010839634,6.002447600028563,0.0,56.718,0.2869708656384323,52.5339011112563,0.2626695055562815,4.045123853000405,200.0,torch-cuda-FP16,49.35132159000043,ina3221,0,
resnet18,FP16,8,15W,default,inference,128,64,13.42176,13.143964738853501,12.0499456,13.42176,1.0211348148496882,6.557851756823859,3.3079475274224492,0.0,56.781,0.11733872096145846,53.16365537787041,0.26581827688935206,4.041839790001177,200.0,torch-cuda-FP16,49.399848319288694,ina3221,1,
resnet18,FP16,8,15W,default,train,128,64,12.9888,12.834332259740261,12.773376,12.91008,1.012035510467832,6.823111695850004,3.286208656457365,0.0,56.875,0.020449557521451032,174.0320438558913,0.8701602192794564,13.559300932000042,200.0,torch-cuda-FP16-train,14.74300411097175,ina3221,0,0.00040780496783554554
