model,precision,batch_size,power_mode,schedule,mode,seq_len,gen_tokens,p_peak_w,p_avg_w,p_idle_w,p_p95_w,peak_to_avg,dpdt_max_w_per_s,dpdt_p95_w_per_s,transient_count,temp_max_c,thermal_ramp_c_per_s,energy_total_j,energy_per_inf_j,duration_s,n_inferences,backend,throughput_infps,trace_source,qps,repeat
mobilenet_v3_large,FP32,1,25W,default,inference,128,64,14.028672,13.657781718411552,11.917875200000001,13.989376,1.0271559678749635,14.058354369668635,6.581100448761318,0.0,58.093,0.19202163588670104,90.2227194808684,0.02815940058703758,6.603216782001255,3204.0,trt-fp32,485.1001980613825,ina3221,485.051,1
mobilenet_v3_large,FP32,1,25W,default,inference,128,64,13.95008,13.617193405017922,11.866624,13.95008,1.0244460503042727,14.386696845792072,7.0843993035763955,0.0,58.562,0.18477349168422755,89.86212349357268,0.027924836387064226,6.5911527019998175,3218.0,trt-fp32,487.5498826387105,ina3221,487.607,2
mobilenet_v3_large,FP32,1,MAXN,default,inference,128,64,15.222016,14.878551272727274,12.949440000000001,15.222016,1.0230845544688416,16.97524440775926,7.448667965726897,0.0,59.281,0.25563861121656556,97.81503239146134,0.028156313296333144,6.562498743000106,3474.0,trt-fp32,528.99752135434,ina3221,528.951,0
mobilenet_v3_large,FP32,1,MAXN,default,inference,128,64,15.941376,15.136873841827768,13.1140736,15.863040000000002,1.0531485012413295,16.275163093680845,7.303774254361704,0.0,59.75,0.2166649947541188,99.42236119793051,0.028610751423864895,6.558755985000971,3475.0,trt-fp32,529.5346887685482,ina3221,529.542,1
mobilenet_v3_large,FP32,1,MAXN,default,inference,128,64,15.30048,14.98802515050167,13.2761536,15.27552,1.0208469659185133,16.305033124693317,6.546147201161566,0.0,60.25,0.19595611054426332,98.09679236558866,0.028204943175844925,6.5555099149987655,3478.0,trt-fp32,530.1716383758541,ina3221,530.158,2
mobilenet_v3_large,FP32,2,15W,default,inference,128,64,13.3824,12.914810108303248,11.2934752,13.34304,1.0362057117197663,14.309663705495248,6.623250780242137,0.0,55.75,0.2384930813529481,85.18604746967475,0.055423583259385005,6.592217806000917,1537.0,trt-fp32,233.0456563722268,ina3221,233.11,0
mobilenet_v3_large,FP32,2,15W,default,inference,128,64,13.14624,12.85410802614379,11.4152192,13.106879999999999,1.0227267402189284,13.129273001959966,4.452559925199149,0.0,56.343,0.1812170049576924,84.80554185663934,0.05485481362007719,6.600543360000302,1546.0,trt-fp32,234.06999122814267,ina3221,234.087,1
mobilenet_v3_large,FP32,2,15W,default,inference,128,64,13.14624,12.87240974592834,11.419161599999999,13.14624,1.0212726489815378,14.781508018187056,3.7004219093760815,0.0,56.843,0.1600883203935027,84.8310961278647,0.0550493810044547,6.590597844999138,1541.0,trt-fp32,233.73659880917467,ina3221,233.726,2
mobilenet_v3_large,FP32,2,25W,default,inference,128,64,15.823872,15.425744529801324,13.034063999999999,15.823872,1.0258092871582,18.161432693427432,7.242333200215366,0.0,58.312,0.3367196830313638,101.78511597835814,0.046883977880404486,6.599102182999559,2171.0,trt-fp32,328.6051107812185,ina3221,328.637,0
mobilenet_v3_large,FP32,2,25W,default,inference,128,64,15.863040000000002,15.454421333333332,13.208832000000001,15.863040000000002,1.0264402437239968,18.612097598360005,7.237247291708873,0.0,58.968,0.2668871960615603,102.07209307556602,0.04727748637126726,6.6050413670000125,2159.0,trt-fp32,326.812949866689,ina3221,326.833,1
